"time","prey","pred","experiment"
0.0,50.0,50.0,"exp1"
0.01,49.57542298794213,50.19784206065992,"exp1"
0.052289361908056886,47.79115432731986,50.98592972184292,"exp1"
0.11710141236679024,45.104354116490335,52.036239154250744,"exp1"
0.19710021790028634,41.897010355079864,53.06085962355544,"exp1"
0.29809005868473504,38.06858858289426,53.920019213551285,"exp1"
0.4167778647402852,33.941116296597954,54.326430594586625,"exp1"
0.5558961892358902,29.66094926809231,54.039995461694375,"exp1"
0.7165421923672609,25.469981694114146,52.838143535100045,"exp1"
0.9052336874108278,21.49659111301379,50.51462859869226,"exp1"
1.1354316837361365,17.822440129107086,46.814096158282325,"exp1"
1.3799318954347897,15.02156524401626,42.37119858095605,"exp1"
1.6343520663764721,12.993678722129408,37.640234583643974,"exp1"
1.903767392662234,11.553800097429345,32.83751068562831,"exp1"
2.190015699417751,10.594028640614168,28.173034986223243,"exp1"
2.498209923445395,10.03616901639366,23.75627712671958,"exp1"
2.832794485089357,9.8483582365524,19.68311479143363,"exp1"
3.2001148807749886,10.038641666635804,16.01119903284507,"exp1"
3.6083415000601686,10.667444828110398,12.778999200123575,"exp1"
4.065647894398931,11.864826640692833,10.025568503399038,"exp1"
4.569703760831233,13.815194883227333,7.818846732611766,"exp1"
5.0869667271592345,16.596414777448025,6.237779105194374,"exp1"
5.624416662693105,20.485677145592717,5.148138041957285,"exp1"
6.166888738027066,25.670522542776084,4.497992270959425,"exp1"
6.700762252422784,32.268494778400765,4.246213216762855,"exp1"
7.204996054405051,40.08307613443654,4.387801229277015,"exp1"
7.670897170402088,48.75429120799248,4.9606602794969294,"exp1"
8.098928690140069,57.7872903397552,6.084050429677498,"exp1"
8.492800173809739,66.4740657130352,7.988173925618491,"exp1"
8.864476359755953,73.94332721997833,11.111563822657683,"exp1"
9.234427691781095,78.79911037286104,16.328140987668423,"exp1"
9.56388260476013,78.76998976236764,23.468299364854417,"exp1"
9.835826434253654,74.35812846269357,31.19017473425728,"exp1"
10.10548570611157,66.00786353349571,39.66531106195913,"exp1"
10.380188360464304,54.849773872072525,47.46481068276621,"exp1"
10.683084496439568,42.200212867040555,52.975089687443486,"exp1"
